"Year","Case","Gender","Race","City","State","LocationType","Fatalities","Wounded","TotalVictims","NumWeapons","MentalIllness","LegalWeapon"
2015,"Chattanooga military recruitment center","Male","Middle Eastern","Chattanooga","Tennessee","Military",5,2,7,3,"true","true"
2015,"Charleston Church Shooting","Male","White","Charleston","South Carolina","Religious",9,1,10,1,"false","true"
2012,"Accent Signage Systems shooting","Male","White","Minneapolis","Minnesota","Workplace",7,1,8,1,"true","true"
2012,"Sikh temple shooting","Male","White","Oak Creek","Wisconsin","Religious",7,3,10,1,"true","true"
2012,"Aurora theater shooting","Male","White","Aurora","Colorado","Other",12,58,70,4,"true","true"
2012,"Seattle cafe shooting","Male","White","Seattle","Washington","Other",6,1,7,2,"true","true"
2012,"Oikos University killings","Male","Asian","Oakland","California","School",7,3,10,1,"true","true"
2012,"Su Jung Health Sauna shooting","Male","Asian","Norcross","Georgia","Other",5,0,5,1,"true","true"
2011,"Seal Beach shooting","Male","White","Seal Beach","California","Other",8,1,9,3,"true","true"
2011,"IHOP shooting","Male","Latino","Carson City","Nevada","Other",5,7,12,3,"true","true"
2011,"Tucson shooting","Male","White","Tucson","Arizona","Other",6,13,19,1,"true","true"
2010,"Hartford Beer Distributor shooting","Male","Black","Manchester","Connecticut","Workplace",9,2,11,2,"false","true"
2014,"Marysville/Pilchuck High School shooting","Male","Native American","Marysville","Washington","School",5,1,6,1,"false","false"
2009,"Coffee shop police killings","Male","Black","Parkland","Washington","Other",4,1,5,1,"true","false"
2009,"Fort Hood massacre","Male","Other","Fort Hood","Texas","Military",13,30,43,1,"true","true"
2009,"Binghamton shootings","Male","Asian","Binghamton","New York","Other",14,4,18,2,"true","true"
2009,"Carthage nursing home shooting","Male","White","Carthage","North Carolina","Other",8,3,11,2,"true","true"
2008,"Atlantis Plastics shooting","Male","White","Henderson","Kentucky","Workplace",6,1,7,1,"false","true"
2008,"Northern Illinois University shooting","Male","White","DeKalb","Illinois","School",6,21,27,4,"true","true"
2008,"Kirkwood City Council shooting","Male","Black","Kirkwood","Missouri","Other",6,2,8,2,"false","false"
2007,"Westroads Mall shooting","Male","White","Omaha","Nebraska","Other",9,4,13,1,"true","false"
2007,"Crandon shooting","Male","White","Crandon","Wisconsin","Other",6,1,7,1,"false","true"
2007,"Virginia Tech massacre","Male","Asian","Blacksburg","Virginia","School",33,23,56,2,"true","true"
2007,"Trolley Square shooting","Male","White","Salt Lake City","Utah","Other",6,4,10,2,"true","false"
2006,"Amish school shooting","Male","White","Lancaster County","Pennsylvania","School",6,5,11,3,"false","true"
2006,"Capitol Hill massacre","Male","White","Seattle","Washington","Other",7,2,9,4,"false","true"
2006,"Goleta postal shootings","Female","White","Goleta","California","Workplace",8,0,8,1,"true","true"
