"City","State","Latitude","Longitude"
"Lowell","WI",43.340272,-88.81705
"Benton Heights","MI",42.131151,-86.407245
"Hannibal","MO",39.708379,-91.358482
"Waterville","WA",47.647076,-120.071179
"Lowes Island","VA",39.05983,-77.352207
"Haskell","TX",33.157603,-99.733701
"Pennsauken","NJ",39.956224,-75.05795
"McKinley Park","AK",63.732778,-148.914167
"Laurel","NE",42.429445,-97.08977
"Tyro","AR",33.835659,-91.720685
"Mimosa Park","LA",29.906317,-90.356191
"Detroit","OR",44.734011,-122.149798
"Lajitas","TX",29.261587,-103.776579
"Courtdale","PA",41.280081,-75.912142
"Grand Terrace","CA",34.033903,-117.313654
"Las Croabas","PR",18.364674,-65.625995
"Sutersville","PA",40.236182,-79.799212
"Seminole","OK",35.228468,-96.694356
"Stoneville","NC",36.466527,-79.906985
"Holland","OR",42.127616,-123.538953
"Santa Teresa","NM",31.855938,-106.639158
"Colchester","IL",40.426431,-90.792632
"Ipswich","MA",42.67926,-70.841161
"Lawrence Park","PA",42.152279,-80.023111
"Olive Branch","MS",34.96176,-89.829532
"Muir Beach","CA",37.862149,-122.581367
"Lafontaine","KS",37.399223,-95.84526
"Palermo","ND",48.339741,-102.229056
"Jericho","NY",40.792044,-73.539848
"Wildwood","TX",30.524095,-94.441584
"Berrien Springs","MI",41.946434,-86.338905
"Glendale","FL",30.862963,-86.114385
"Bull Run","VA",38.783726,-77.520545
"Vail","IA",42.061931,-95.199994
"Bank Lick","KY",38.909785,-84.579665
"London","OH",39.886449,-83.448253
"Celina","TX",33.324559,-96.784442
"Lovell","WY",44.837453,-108.389561
"Lindon","UT",40.343286,-111.720761
"Von Ormy","TX",29.289126,-98.644465
"Piedmont","OH",40.188401,-81.196495
"Wellington","KY",38.216459,-85.669128
"Crane","IN",38.891159,-86.903894
"Cauthron","AR",34.920933,-94.297436
"Shirley","AR",35.656188,-92.319322
"Millersburg","OR",44.680955,-123.061483
"Harmony","ME",44.973946,-69.54616
"Quasqueton","IA",42.394432,-91.761004
"Lamourie","LA",31.131854,-92.411801
"Lake Mary","FL",28.758883,-81.317845
"Lynn","MA",42.466763,-70.949494
"Tea","SD",43.446367,-96.835885
"Waukeenah","FL",30.411315,-83.952943
"Westwood","KY",38.483137,-82.669884
"Barton","AL",34.738701,-87.891146
"Grove","OK",36.597634,-94.792902
"Dean","MT",45.404665,-109.69045
"Lake Wissota","WI",44.92635,-91.300987
"Houston","PA",40.246459,-80.211447
"Monroe City","IN",38.615326,-87.354461
"Maysville","AR",36.403689,-94.601888
"Plum Branch","SC",33.848738,-82.259846
"Buffalo","ND",46.919699,-97.549539
"Chelsea","ME",44.250347,-69.717266
"Bellwood","FL",28.505,-80.784499
"Harmony","MD",38.779003,-75.880491
"Duncansville","PA",40.423406,-78.433903
"Elgin","TN",36.332299,-84.60633
"Pengilly","MN",47.332715,-93.197143
"Merriam Woods","MO",36.713949,-93.161847
"McNair","MS",31.638499,-91.042048
"Laguna Woods","CA",33.610301,-117.72533
"Forman","ND",46.107742,-97.636486
"North Henderson","IL",41.089204,-90.47541
"Carbon","TX",32.27069,-98.828672
"Garland","NE",40.94473,-96.985582
"Watson","AR",33.895104,-91.256227
"Obion","TN",36.258957,-89.191735
"Opdyke","TX",33.593148,-102.275454
"Villegreen","CO",37.305851,-103.520222
"Orangeville","PA",41.2086815,-78.466674
"Bonnie Doone","NC",35.095163,-78.955583
"Conquest","NY",43.121177,-76.648003
